2015-02-18 12:48:32 status half-configured base-files:armhf 7.2ubuntu7
2015-02-18 12:48:32 status unpacked base-files:armhf 7.2ubuntu7
2015-02-18 12:48:33 status half-installed base-files:armhf 7.2ubuntu7
2015-02-18 12:48:33 status half-installed base-files:armhf 7.2ubuntu7
2015-02-18 12:48:34 status unpacked base-files:armhf 7.2ubuntu7
2015-02-18 12:48:34 status unpacked base-files:armhf 7.2ubuntu7
2015-02-18 12:48:35 upgrade base-passwd:armhf 3.5.36 3.5.36
2015-02-18 12:48:35 status half-configured base-passwd:armhf 3.5.36
2015-02-18 12:48:35 status unpacked base-passwd:armhf 3.5.36
2015-02-18 12:48:35 status half-installed base-passwd:armhf 3.5.36
2015-02-18 12:48:36 status half-installed base-passwd:armhf 3.5.36
2015-02-18 12:48:37 status unpacked base-passwd:armhf 3.5.36
2015-02-18 12:48:37 status unpacked base-passwd:armhf 3.5.36
2015-02-18 12:48:38 install bash:armhf <none> 4.3-11ubuntu1
2015-02-18 12:48:38 status half-installed bash:armhf 4.3-11ubuntu1
2015-02-18 12:48:42 status unpacked bash:armhf 4.3-11ubuntu1
2015-02-18 12:48:42 status unpacked bash:armhf 4.3-11ubuntu1
2015-02-18 12:48:43 install bsdutils:armhf <none> 1:2.25.1-3ubuntu4
2015-02-18 12:48:43 status half-installed bsdutils:armhf 1:2.25.1-3ubuntu4
2015-02-18 12:48:44 status unpacked bsdutils:armhf 1:2.25.1-3ubuntu4
2015-02-18 12:48:45 status unpacked bsdutils:armhf 1:2.25.1-3ubuntu4
2015-02-18 12:48:46 install busybox-initramfs:armhf <none> 1:1.22.0-8ubuntu1
2015-02-18 12:48:46 status half-installed busybox-initramfs:armhf 1:1.22.0-8ubuntu1
2015-02-18 12:48:47 status unpacked busybox-initramfs:armhf 1:1.22.0-8ubuntu1
2015-02-18 12:48:47 status unpacked busybox-initramfs:armhf 1:1.22.0-8ubuntu1
2015-02-18 12:48:48 install coreutils:armhf <none> 8.23-2ubuntu3
2015-02-18 12:48:48 status half-installed coreutils:armhf 8.23-2ubuntu3
2015-02-18 12:48:55 status unpacked coreutils:armhf 8.23-2ubuntu3
2015-02-18 12:48:55 status unpacked coreutils:armhf 8.23-2ubuntu3
2015-02-18 12:48:56 install cpio:armhf <none> 2.11+dfsg-2ubuntu1
2015-02-18 12:48:56 status half-installed cpio:armhf 2.11+dfsg-2ubuntu1
2015-02-18 12:48:57 status unpacked cpio:armhf 2.11+dfsg-2ubuntu1
2015-02-18 12:48:57 status unpacked cpio:armhf 2.11+dfsg-2ubuntu1
2015-02-18 12:48:59 install dash:armhf <none> 0.5.7-4ubuntu1
2015-02-18 12:48:59 status half-installed dash:armhf 0.5.7-4ubuntu1
2015-02-18 12:49:02 status unpacked dash:armhf 0.5.7-4ubuntu1
2015-02-18 12:49:02 status unpacked dash:armhf 0.5.7-4ubuntu1
2015-02-18 12:49:04 upgrade debconf:all 1.5.53ubuntu1 1.5.53ubuntu1
2015-02-18 12:49:04 status half-configured debconf:all 1.5.53ubuntu1
2015-02-18 12:49:06 status unpacked debconf:all 1.5.53ubuntu1
2015-02-18 12:49:06 status half-installed debconf:all 1.5.53ubuntu1
2015-02-18 12:49:07 status half-installed debconf:all 1.5.53ubuntu1
2015-02-18 12:49:08 status unpacked debconf:all 1.5.53ubuntu1
2015-02-18 12:49:08 status unpacked debconf:all 1.5.53ubuntu1
2015-02-18 12:49:09 install debianutils:armhf <none> 4.4
2015-02-18 12:49:09 status half-installed debianutils:armhf 4.4
2015-02-18 12:49:10 status unpacked debianutils:armhf 4.4
2015-02-18 12:49:10 status unpacked debianutils:armhf 4.4
2015-02-18 12:49:11 install diffutils:armhf <none> 1:3.3-1
2015-02-18 12:49:11 status half-installed diffutils:armhf 1:3.3-1
2015-02-18 12:49:12 status unpacked diffutils:armhf 1:3.3-1
2015-02-18 12:49:12 status unpacked diffutils:armhf 1:3.3-1
2015-02-18 12:49:14 upgrade dpkg:armhf 1.17.13ubuntu1 1.17.13ubuntu1
2015-02-18 12:49:14 status half-configured dpkg:armhf 1.17.13ubuntu1
2015-02-18 12:49:14 status unpacked dpkg:armhf 1.17.13ubuntu1
2015-02-18 12:49:15 status half-installed dpkg:armhf 1.17.13ubuntu1
2015-02-18 12:49:16 status half-installed dpkg:armhf 1.17.13ubuntu1
2015-02-18 12:49:17 status unpacked dpkg:armhf 1.17.13ubuntu1
2015-02-18 12:49:17 status unpacked dpkg:armhf 1.17.13ubuntu1
2015-02-18 12:49:19 install e2fslibs:armhf <none> 1.42.10-1.1ubuntu1
2015-02-18 12:49:19 status half-installed e2fslibs:armhf 1.42.10-1.1ubuntu1
2015-02-18 12:49:21 status unpacked e2fslibs:armhf 1.42.10-1.1ubuntu1
2015-02-18 12:49:21 status unpacked e2fslibs:armhf 1.42.10-1.1ubuntu1
2015-02-18 12:49:22 install e2fsprogs:armhf <none> 1.42.10-1.1ubuntu1
2015-02-18 12:49:22 status half-installed e2fsprogs:armhf 1.42.10-1.1ubuntu1
2015-02-18 12:49:26 status unpacked e2fsprogs:armhf 1.42.10-1.1ubuntu1
2015-02-18 12:49:27 status unpacked e2fsprogs:armhf 1.42.10-1.1ubuntu1
